Memorial,Zone,Text
National Association of Memorial Masons (NAMM),,
National Ex-Prisoner of War Memorial,6,"NATIONAL EX-PRISONER OF WAR ASSOCIATION
The gates here remember those who were detained as prisoners of war by German forces during WW2. They are an exact replica of the memorial built by British Army engineers near Falling bostel, Germany, where two large ‘stalags’ were located, not only to remember the POWs who finally gained their freedom in April 1945, but also to mark the beginnings of a new friendship with the local German population."
National Miners' Memorial,9,"NATIONAL MINERS MEMORIAL 
The memorial commemorates the men, women and children who worked in the UK coal mining industry and served or died in the service of their country 
The artist for the memorial was Andy de Comyn 
Andy de Comyn was the artist for the ATS, WRAF, WRAC, Mercian Volunteers and Shot at Dawn memorials at the NMA 
Francesca de Comyn was the illustrator 
47 miners were awarded the Victoria Cross in the 2 world wars (45 during 1914-18 and 2 during 1939-45) 
Sapper William Hackett, Royal Engineers, is the only miner to be awarded a VC for his work in tunnels underground. He refused to leave a wounded fellow miner in a tunnel after a collapse. "
National Voluntary Civil Aid,9,National Voluntary Civil Aid
Naval Service Memorial,5,"Naval Service Memorial 
The Naval Service Memorial is located at the heart of the Naval Section of the Arboretum and commemorates those who have served, serve today and will serve tomorrow, regardless of rank, trade or fighting arm. 
The striking memorial was created by Graeme Mitcheson, from a theme developed by Lt Cdr Nigel Huxtable. It is comprised of 13 coloured glass panels on a white granite terrace and includes a figure of Kilkenny limestone. 
The glass depicts the colours of the five oceans – steel grey with spume lines for the Atlantic, turquoise for the Indian, ultramarine for the Pacific and white for the Arctic and Southern oceans. 
Yellow is for the rising sun, red for the setting sun and the blood spilled at sea, and on land. 
On the memorial’s terrace stands a figure of a sailor, head bowed in respect to shipmates everywhere, cap held in the ‘at ease’ position. The figure faces west, where the sun sets. The terrace has a carved inscription of the Tennyson poem ‘Crossing the Bar’ – a phrase used when shipmates pass away. 
The glass panels cast a shadow suggesting the shape of a warship. Visible only in sunlight and for a few hours per day, it is best seen on 11 November. 
The curved shapes suggest waves and motion while the scale and colour hint at sails in a harbour. The idea for the ‘warship shadow’ came when the designer was in his garden, on a summer’s day, watching shadows cast by washing hanging on the line. 
The Naval Service Memorial was unveiled on 15 June 2014 by HRH Prince Michael of Kent. 
The coloured glass memorial was commissioned by the Royal Naval Association to mark the 60th anniversary of its being granted a Royal Charter. 
The 13 glass panels depict the different colours of the oceans of the world, while yellow is for the rising sun and red the setting sun. There are also splashes of red representing the blood spilled at sea, on land and in the air in defence of our nation. 
The panels cast a shadow, suggesting the shape of a warship, which is best seen around lunchtime when the sun is directly behind. 
The single figure faces the setting sun, head bowed, and cap held in the 'at ease' position, showing respect to his fallen shipmates. 
On the terrace edge is a carved inscription from the Tennyson poem 'Crossing the Bar', which is the phrase used by Navy personnel when a shipmate has passed away. "
Navy Wood,,
Neutral Irish Registered Vessels Memorial,4,"Neutral Irish Registered Vessels 
The memorial is dedicated to all those who were serving aboard the Neutral Irish Registered Vessels lost as a result of enemy action during the Second World War - especially the 149 Seamen who lost their lives. The memorial lists the companies ships that were lost in WW2."
Nigeria Police,7,Nigeria Police
No 101 Squadron RAF,13,"101 SQUADRON 
101 Squadron is one of the Royal Air Force's oldest and most prestigious squadrons. It is still active today, flying out of RAF Brize Norton, Oxfordshire. 
In WW1 they flew bi-planes and pioneered night bombing over the Western Front. 
In WW2 the Squadron served in Bomber Command and participated in the greatest air battles the world has ever witnessed. 
In more recent times they have seen operational service in, amongst others, Falklands, Iraq, Syria and Afghanistan. 
The Squadron's Latin motto ""Mens agitat molem"" translates to ""mind over matter""."
"No 2 Squadron RAF Memorial ; No II (AC) Squadron RAF, Shiny Two",13,"NUMBER 2 SQUADRON 
Number 2 Squadron is the most senior squadron of the RAF, formed on 13th may 1912 0n the founding day of the RFC as one of the first three squadrons formed. 
Numbers 2 and 3 were equipped with fixed wing aircraft while number one with airships. 
Number 2 was the first squadron to fly the English Channel into France at the start of WW1. 
Its principal role was not Air – Air combat but army co-operation but it still had a flying Ace in its ranks (five enemy A/C shot down) Arthur William Hammond it also had the first Aviation VC's first was 2nd Lieutenant William Rhodes Moorhouse and Lieutenant Alan Arnett “babe” Mcleod (see paving slab on causeway to McLeod). 
Number 2 nicknamed the shiny two Motto Hereward Guardian of the Army. The Squadron's tail badge is the wake knot derived from the coat of arms of Hereward the wake. 
The Squadron is now equipped with Eurofighter Typhoon FGR4's at RAF Lossiemouth."
No 47 Squadron RAF Memorial,1,"No. 47 Squadron RAF Memorial
No. 47 Squadron Royal Flying Corps was formed on 1 March 1916 at Beverley as a home defence unit to protect Hull and East Yorkshire against attacks from German Zeppelins. The Squadron saw active service in East Africa, the Eastern Mediterranean and India during the Second World War and later supported the Berlin Airlift. In more recent times the Squadron supported United Nations (UN) and NATO operations in the Balkans by delivering aid to besieged cities and also assisted coalition forces in operations in Iraq and Afghanistan. Also in this area… Take a look inside our original Type 24 Pillbox, where soldiers during the Second World War were expected to use the reinforced concrete walls for protection, whilst fighting an invading enemy. There is an information panel just outside if you’d like to find out more. The memorial’s five figures represent two airmen from the First World War and Second World War and the other three figures represent a modern air crew. An introductory plinth displays the Squadron badge depicting a demoiselle crane’s head in front of a fountain. The memorial also includes nine corten steel plaques that represent the Squadron’s battle honours."
No 49 Squadron Memorial,13,"49 Squadron RAF 
The memorial to 49 Squadron is made of polished South African Dark Grey granite. The circular headpiece, fixed to a rectangular base, depicts the squadron’s badge - a racing greyhound surmounting the motto 'Cave Canem' (Beware of the Dog) and is surrounded by the inscription: 49 Bomber Squadron Royal Air Force. The badge was officially recognised on 14 June 1937 following the Squadron’s relocation to Worthy Down.
The base of the memorial is inscribed with the words:
In memory of those who served on 49 Squadron 1916 – 1965
49 Squadron was originally formed during the First World War at Dover in April 1916. Its first 18 months were spent as an aircrew training unit equipped with BE2Cs, RE7s and Martinsydes. Between 1917 and 1918 the squadron was tasked with day bombing raids and high and low level bombing until the end of the war when it was subsequently disbanded in July 1919.
During the Second World War the reformed squadron operated as a front line bomber squadron and took part in most major operations by Bomber Command equipped with Lancaster Bombers. In peacetime the squadron carried out routine training and also saw action in Kenya.
In 1956, equipped with Valiant B1 aircraft (the first of the V Bombers), the squadron was tasked with carrying out a series of nuclear tests based on Christmas Island in the Pacific Ocean.
Reverting to the normal medium bomber role the squadron moved to Marham in 1961. On 5 June 1964 Her Royal Highness Princess Marina, Duchess of Kent, presented 49 Squadron with its standard.
49 Squadron was disbanded at RAF Marham on 1 May 1965, when all Valiant aircraft were withdrawn from service.
Honours and awards gained by members of 49 Squadron during the Second World War include:
1 Victoria Cross (VC)
(Awarded to Flight Lieutenant (later Wing Commander) Roderick Alastair Brook Learoyd for his bravery during the successful low level attack on the Dortmund Ems canal, 12 August 1940. It was the first VC awarded in Bomber Command.
1 Empire Gallantry Medal (later the George Cross)
7 Distinguished Service Orders
131 Distinguished Flying Crosses
2 Conspicuous Gallantry Medals
105 Distinguished Flying Medals"
No IX Squadron RAF,13,"9 SQUADRON 
The Final British attack on the Tirpitz to place on the 12th November1944by a mixed force of 32 Lancasters from 9 Sqd and 617 Sqd they dropped 29 tallboy bombs on the ship landing two direct hits and one near miss. Several bombs landed within the torpedo nets which removed much of the sandbank that had been constructed to prevent the ship capsizing. To his day members of both squadrons claim that it was their Bomb that sank the Tirpitz. 
The 9 Squadron Memorial is dedicated to all those who have served in the Squadron since its formation in 1914. The memorial bears the inscription ""The oldest bomber Squadron in the world"". 
The Squadron crests are engraved on the faces of the memorial, including the IX Squadron (B) badge depicting a bat accompanied by the motto,""Per noctum volamus"" which translates ""Throughout the night we fly"", reflecting the Squadron's night bombing duties. 
The Final British attack on the Tirpitz to place on the 12th November1944by a mixed force of 32 Lancaster Bombers from 9 Sqd and 617 Sqd they dropped 29 tallboy bombs on the ship landing two direct hits and one near miss. Several bombs landed within the torpedo nets which removed much of the sandbank that had been constructed to prevent the ship capsizing. To his day members of both squadrons claim that it was their Bomb that sank the Tirpitz. 
The Squadron is still in operation today."
No. 30 Squadron Association Memorial,13,No. 30 Squadron (transport - the black bell shaped one);
No. 8 Group Path Finder Force,13,"RAF PATH FINDER FORCE MEMORIAL (NO. 8 GROUP) 
Path Finder Force formed August 1942, part of Bomber Command (they were used for target-marking to increase accuracy of bombing raids). Mainly RAF but also personnel from other Commonwealth countries. It was steadily transformed from a token ‘hit & miss’ Force to one that could deliver anything from a single Bomb to 100’s of tonnes of bombs accurately onto a target anywhere in Western Europe. ‘Cherry-picking’ crews from other areas of the RAF was frowned upon at the time but it would have been the Crème de la Crème of crews that had the skills and experience needed. The airmen committed to doing another 60 operations, later reduced to 45 (and the more you did, the less the chance of surviving). Crews for specific missions were hand-picked. Aircraft used included Halifax, Lancaster, Wellington and Mosquito and Stirling. Project to get a memorial started in 2014. It was originally unveiled at the PFF Reunion at RAF Wyton (August 2017), 75 years after No.8 Group was formed. Memorial weighs 5 tonnes – logistically difficult getting it transferred to the NMA - eventually installed in July 2020"
Normandy Veterans Memorial,,
Northern Ireland Prison Service Memorial,6,"Northern Ireland Prison Service Memorial
The memorial commemorates the 32 men and women of the Northern Ireland Prison Service who lost their lives as result of their employment during 1942 - 2016. Many were killed off duty by shooting or by having their cars booby-trapped.The memorial was upgraded, new names added and placed in its current position in July 2023."
Northern Rhodesia Police Memorial,7,"BLESMA
BLESMA stands for British Limbless Ex-Service Men’s Association 
BLESMA was formed in 1932 
BELSMA works to assist those who have lost limbs as a result of service in any branch of Her Majesty's Armed Forces. 
The garden is planted mostly with fruit trees which are kept purposely at a low height to allow easy access for those in wheelchairs both to smell the blossom in spring and harvest the fruit in autumn. 
An apple or pear, of course, does not need to be peeled for eating (requiring two hands) 
The circular benches do not have any arm rests. A service person may have lost their arms. "
Not Forgotten Association Memorial,,
"Nursing Memorial,The",,
Nyasaland Police Memorial,7,"Nyasaland Police
Interred in this memorial is a scroll containing the names of officers who served in the Nyasaland Police from 1921 – 1964."
Ocean Fairway Blue Funnel Line Memorial,4,"Ocean Fairway Blue Funnel Line Memorial  
The memorial is a tribute to the Merchant Navy Officers and Seamen of the Blue Funnel Line, Glen Line and NSMO who served during the Second World War and especially those who made the ultimate sacrifice. It was donated by the Ocean Association of Retired Masters and Chief Engineers, the Nestorian Association of Ocean Group plc."
Ocean Fairway Elder Dempster Line Memorial,,
Oddfellows,2,"THE ODDFELLOWS MEMORIAL
The Oddfellows were first formed in this country in 1810, over 200 years ago. Today they have a network of 121 branches and 309,000 members in the UK. Their aim is to improve the quality of people's lives through friendship, care and charitable support. Like the Masons, they have their own traditions exclusive to them. Many members of the Oddfellows served in both WWs. 
After WW1 they set up the Orphan Gift Fund to care for orphaned children of their members and the fund still exists today. Part of their insignia is a three linked chain symbolising friendship, love and truth"
Operation Market Garden / Market Garden Veterans' Association Memorial,7,"Market Garden Grove
These are the trees either side of Yeomanry Avenue near the Market Garden Memorial. They are dedicated to various Market Garden Veterans Associations. Technically this is not a memorial.."
Orange Institution Memorial,2,"Orange Institution Memorial
The Orange Institution was formed over 200 years ago to commemorate the victory won at the Battle of the Boyne in County Meath, Ireland by William of Orange (King William III) over James II in July 1690. Since its formation many members of the Order have joined the British Armed Forces and served around the world.
A memorial to the service and sacrifice of members of the Orange Institution was unveiled at the National Memorial Arboretum on Saturday 2 September 2017 and was formally dedicated by the Grand Master of the Grand Orange Lodge of Scotland, Jim McHarg.
It is formed in the shape of a lectern with an open Bible on top dressed with an Orange collarette. The inscribed message in gold lettering reads: ‘This Memorial is Dedicated to God and erected to Joshua, in thanksgiving to all members of the Loyal Orange Institution who served and paid the supreme sacrifice in the service of their Country’.
An Orange Institution memorial behind the Ulster Tower in Albert, France is dedicated to all those members who lost their lives in service during the First World War.
An Orange Lodge in Cumbria was opened in memory of Private Abraham Acton who, as a member of the Whitehaven Lodge, was awarded the Victoria Cross for his bravery rescuing wounded comrades whilst under heavy enemy fire during the Battle of Rouge Banc in France in 1914. He was killed in action on 16 May 1915 during the Battle of Festubert, before he could collect his medal, and his body was never recovered. He was only 22 years old."
Order of St John Volunteers Memorial,,
Palestine Police Old Comrades' Association Memorial,,
Palestine Veterans' Association Memorial,,
Parachute Regiment and Airborne Forces Memorial,,
Parachute Squadron Royal Armoured Corps Memorial,,
Pegasus Bridge Memorial,1,"Pegasus Bridge Memorial Flight
'Operation Deadstick'
On D-Day 6th June 1944 six Horsa Gliders were released by Halifax pilots of 298 and 644 Squadrons Royal Air Force. Gliding down over enemy territory in complete darkness the crews of the Glider Pilot Regiment crash landed 5 of the Gliders very close to the bridges over the Orne River and Caen Canal. Glider No. 4 landed by a bridge over the River Dives about 10 miles away. Capture of these bridges was vital to defending the D-Day landing beaches in Normandy to the North and the Airborne Forces drop zones to the East in the vicinity of Ranville. The operation was planned by Major John Howard and the successful assault by soldiers from the 2nd. Battalion Oxfordshire & Buckinghamshire Light Infantry who were supported by the Royal Engineers, Royal Army Medical Corps and a 7 Para liaison officer. The 5 metre high memorial depicts three stylised Horsa gliders spiralling down on a giant letter 'S' representing this Secret operation that was carried out in Silence, using Speed, Stealth and achieved complete Surprise. The concept of the memorial was by Mike Colton and the memorial brought to life by Bromley O'Hare, Blacksmith/Artisan with the sides left open to indicate that the Gliders were frail craft!
Memorial Established 2018."
Phantom Memorial,,
Pity of War,2,Pity of War
Polar Bear Memorial ; 49 West Riding Division,,
Police Service Northern Ireland (PSNI) Memorial,6,"Police Service of Northern Ireland: PSNI Map
The memorial displays the badge of the Police Service of Northern Ireland above an inscription which commemorates all those who lost their lives in service of the people of Northern Ireland."
Polish Forces War Memorial,,
Poppy Memorial ; 'RBL Never Forget Tribute Garden',6,"POPPY MEMORIAL
The memorial, provided by The Royal British Legion (began in 1921), features a giant wreath around which poppies, inscribed with individual names and dates, can be planted as a permanent tribute. It’s a place where everyday heroes, as well as those killed in conflict, can be honoured. (Became ‘Royal’ in 1971). It has 12 segments representing the 12 months of the year, and those wishing to place a poppy can select the most appropriate segment.
• Leaflets are available in Reception explaining how a poppy can be placed, which is via the Royal British Legion, not the NMA."
Popski's Private Army,1,"Popski’s Private Army
Popski’s Private Army was founded by Major Vladimir Peniakoff in Cairo in October 1942. On 10 December 1942, it became officially operational as “No. 1 Demolition Squadron, PPA” an 8th Army Special Forces unit formed specifically to attack Field-Marshal Rommel’s fuel supplies, in support of General Montgomery’s offensive at El Alamein. The squadron, which also served in Italy, was disbanded in September 1945 as well as the Long
Range Desert Group (LRDG) and the Special Air Service (SAS), PPA was the last and smallest of the three main irregular raiding, reconnaissance and intelligence units formed during the North African Campaign. The stone built memorial is a truncated pyramid topped with the PPA astrolabe unit symbol replicated from Popski’s original design which is also echoed in the shape of the surrounding low hedge. The variegated laurel hedge represents the yellow of the deserts of North Africa and the greenery of Italy. Commemorative plaques feature on all four faces of the memorial. The front displays a small plaque showing PPA's astrolabe cap badge, a small plaque commemorating the unveiling on 30 March 2008 (Popski's Birthday), together with the PPA Roll of Honour. To the rear PPA Honours and Awards are listed. The right-hand plaque commemorates the 27th Lancers and all the units who comprised ""Porterforce"" with the Italian Partisans commemorated on the left-hand plaque. In 2010, two plaques telling the story Popski's Private Army were added to the memorial’s entrance. The design of the hedge around the memorial was by Mike Colton. Dedicated in 2008.
Note: - All the plaques are undergoing refurbishment. (19/2/23)"
Posted - Service Children's Education Memorial,6,"Posted - Service Children’s Education Memorial
‘Posted’ recognises the work of Service Children’s Education (SCE), an Agency of the Ministry of Defence (MOD), dedicated to the education of the children of His Majesty’s Armed Forces, MOD Personnel and sponsored organisations stationed overseas. Military postings require most families to move every two years or so, either within the UK or to other overseas locations. It can sometimes be hard for children to regularly leave friends behind and start afresh. The memorial features a traditional red British post box on a black post with sculpted birds above representing the dispersal and regrouping experience of posted families."
Prince of Wales's Own Regiment of Yorkshire,,
Princess Mary's RAF Nursing Service (PMRAFNS) Memorial,,"PRINCESS MARY'S ROYAL AIR FORCE NURSING SERVICE (PMRAFNS) This nursing service started as a temporary service in 1918 when the RAF was founded on 1st April, the service became permanent in 1921. 
It was a female only nursing service until 1980 when men were allowed to join. 
There are around 500 nurses serving today. 
There is a Plaque to Nurse Joyce Kathleen Atkin to the left behind the main memorial who was killed in the sinking of the Ship Khedive Ismall along side 52 other nurses a total of 77 female lives lost the largest loss of female lives. Torpedoed by Japanese submarine in the Indian ocean 12th February 1944."
Prison Officers Association (POA),2,"Prison Officers Association Memorial
Dedicated to all those who continue to serve the Crown, have served in the Armed Forces and all those lost in service, who joined the trade union via their work within our secure services including; public sector and private sector prisons, immigration centres, youth custody services, escort services and secure psychiatric institutions. The memorial recognises the dangers staŽ who work in these environments place themselves in, whilst serving to protect the public."
Quaker Services Memorial,2,"Quaker Services Memorial Map Index
During both World Wars, members of the Religious Society of Friends (Quakers) were active in relief work, which was recognised by the award of the Nobel Peace Prize in 1947. The Friends Ambulance Unit was an independent body led by Quakers and open to people of all denominations, giving conscientious objectors to military service an opportunity to serve in theatres of war. Bronze stars set in the paving mark the 17 lives lost. The Friends Relief Service was the o›cial arm of the Society for the relief of civilian distress. Twelve hundred people, nearly half of them women, from all denominations, served as members. The circular design of the memorial, which symbolises reconciliation between opponents, invites visitors to rest and contemplate; it also represents the unity and equality which Friends bring to their worship and lives. Quakers recognise the reality of conflict and have practical experience of the power of love in its resolution."
Queen Alexandra's Royal Army Nursing Corps Memorial,,
Queen Alexandra's Royal Navy Nursing Service and the Voluntary Aid Detachment Memorial (QARNNS),5,"QARANCS
The history of this Corps dates back over 100 years to the time of Florence Nightingale. She could see the need for nurses to be part of the British Army 
She, along with others, was instrumental in lobbying for support of female military nurses. 
In 1902 Queen Alexandra's Imperial Military Nursing Service (QAIMNS) was established. In 1949 the name changed to Queen Alexandra's Royal Army Nursing Corps (QARANC) and in 1992 men were allowed to join the Corps. 
The QA's of today train and nurse in a small number of military hospitals around the UK, also where the UK has a military presence around the world, in such places as Germany, Poland, Cyprus, Canada, Afghanistan. 
They are also attached to NHS hospitals in the UK. 
They are always ready to be deployed anywhere in the world to support our troops unfortunately a number lost their lives. 
Sister Joyce Kathleen Atkin, Queen Alexandra’s Imperial Military Nursing Service was killed at sea on the 12th February 1944, when the SS Khedive Ismail was torpedoed by a Japanese submarine in the Indian Ocean whilst on route from Mombasa to Colombo. 
Nellie Spindler was a staff nurse; she was killed during the Battle of Passchendaele"
Queen's Lancashire Regiment 1970-2006,,
Queen's Own Highlanders Memorial,,
Queen's Regiment Memorial,,
Queen's Royal Hussars Memorial,,
Queen's Royal Lancers Memorial,,
Queens Own Buffs - The Royal Kent Regiment,,
RAC Future Forests,,
RAF 214 Squadron Memorial,13,"214 (Federated Malay States) Squadron RAF Memorial  
The memorial commemorates the distinguished record of the No 214 (FMS) Squadron in bomber, radio, countermeasures, transport and in air-to-air refueling tanker roles. It remembers all those who served on the Squadron and those who gave their lives in war and peace. 
Formed originally as No.7A Squadron, Royal Navy Air Service on 28 July 1917, it became No 214 Squadron and was named the Federated Malay States Squadron in June 1941 in recognition of the gift of aircraft purchased with funds subscribed to the British Government through the Federated Malay States war fund. 
No 214 Squadron, Royal Air Force, was disbanded on 28 January 1977. 
The memorial is located within the RAF Memorial Grove (known as the RAF Wing) which comprises a collection of silver birch trees planted in the shape of an eagle’s wings. The wing honours both the Fighter and Bomber Commands."
RAF Administrative Apprentices Memorial,13,"RAF Administrative Apprentices Memorial
Commemorates all who trained as RAF Administrative Apprentices and Apprentice Clerks from 1925–1973 at Ruislip, St. Athan, Hereford and Bircham Newton."
RAF Air Loadmasters' Association Memorial,13,"Air Loadmaster Association 
The Air Loadmaster Association is one of only a few remaining associations for members of the Royal Air Force who have served as Air Quartermaster or Air Loadmasters (AQM and ALMs). 
The memorial, located within the RAF Memorial Grove (known as RAF Wing), is a truncated obelisk of white Portland Stone set in a blue slate bed edged with small stones. The front face of the pyramidal top is engraved with the letters RAF below which the face of the memorial is ornamented by engravings of Air Loadmaster insignia and a dedication to the fallen. 
During the service of dedication on 14 October 2011 a fly past took place to honour those killed in action, or in the course of duty."
RAF Armourers,13,RAF Armourers Memorial
RAF Barrage Balloons Memorial,13,"RAF Barrage Balloons Memorial 
The memorial, unveiled in November 2015, is dedicated to the memory of the men and women who served with the Balloon Barrage Squadrons of RAF Balloon Command during the Second World War.
The purpose of the Balloon Barrage was to prevent accurate bombing by forcing enemy aircraft to fly at higher altitude. This was achieved by steel cables held up by the balloons flown to a height of up to 5,000 feet. Aircraft which flew into the cables could be seriously damaged or brought down.
Barrage Balloons were filled with hydrogen gas and were flown from either fixed or mobile winches, each operated by ten men or 14 women and two NCOs."
RAF Benevolent Fund Memorial,6,"RAF Benevolent Fund 
The RAF BF offer support to all Serving and Former Members Of The RAF, Their Partners and Dependent Children. They are the RAF's Leading Welfare Charity With A Proud Tradition Of Looking After Our Own."
RAF Bomb Disposal,13,RAF Bomb Disposal
RAF Fire and Rescue Service,13,RAF Fire and Rescue Service
RAF Flight and Air Engineers Memorial,13,"FLIGHT ENGINEERS MEMORIAL 
Flight Engineers were introduced into the RAF in 1941, their primary role was to assist pilots in the flying of large multi-engined aircraft that had become too technically complex to be operated by a single pilot. By taking over the management of the aircraft's various systems, the Flight Engineer released the pilot to concentrate on the actual flying of the aircraft. 
The insignia of a Flight Engineer is a single wing. The single wing is known as a half brevet (which was given to increase rank without increasing pay)."
RAF Locking Memorial,13,"RAF Locking Apprentices 
This memorial commemorates all Apprentices who trained at RAF Locking between 1952 and 1976.
The accommodation, messing and medical facilities were all housed in wooden huts. Training facilities were, however, mostly brick-built hangars. The Aircraft Apprenticeship comprised a year of basic mental and physical training followed by two years of more specialised instruction.
The apprenticeships covered the Ground Radar, Ground Wireless and Air Radio trades. During the mid-1960s, changes were made in the Apprentice Training system following the raising of the school leaving age from 15 to 16 and a two year apprenticeship was introduced and called the Craft Apprenticeship.
A further scheme called Technical Apprenticeships was introduced and successful graduates passed out as Corporals with an Ordinary National Certificate (ONC) as opposed to Junior Technicians. In 1970, a one-year course was introduced to be undertaken by Mechanic Apprentices but apprentice training finally finished in March 1976, ending 54 years of ‘Trenchard’s Brats’."
RAF Medical Services Memorial,13,"Royal Air Force Medical Services
The Royal Air Force Medical Services is a branch of the Royal Air Force providing health care to RAF service personnel at home and on deployed operations. The medical officers have specialist skills and provide essential support to aircrew, search and rescue missions and emergency relief operations around the world. 
The memorial to the Royal Air Force Medical Services is carved from an eight-foot (2.43 m) slab of Welsh slate and was created by Martin Cook. 
Its unusual position represents the angle of a scalpel blade, indicating the different angle the service takes from the rest of the RAF. A glass disc, inset at the top of the memorial, displays the Caduceus symbol - a winged staff entwined with two serpents. This symbol has its origin in Greek mythology and has since become associated with medicine"
"RAF Mountain Rescue Service (MRS), The",13,"RAF MOUNTAIN RESCUE
Was first organised during World War II to rescue aircrew from the large number of aircraft crashes then occurring due to minor navigational errors in conjunction with bad weather and resulting poor visibility when flying in the vicinity of high ground."
RAF No. 31 Squadron Memorial,13,"No. 31 Squadron 
Which has been in existence now for over 100 years. They are currently based at RAF Marham in Norfolk, flying Tornado aircraft."
RAF Physical Training Instructors,13,"RAF PHYSICAL TRAINING 
▪ The RAF School of physical training was formed on the 1st of April 1918. 
▪ The school's motto translates as 'Bold in Strength' which is symbolised in the Roebuck on the school's crest. The Roebuck was chosen because of its extraordinary alertness, energy, and physical fitness, qualities needed to be a PTI today."
RAF Search and Rescue Memorial,13,"RAF Search and Rescue Services
This memorial commemorates those who served in Britains Search and Rescue Organisations since February 1941 so “that others may live”."
Rail Industry Memorial,2,"THE RAILWAY INDUSTRY MEMORIAL
This memorial is the celebration of the magnificent achievements of the railway family which has served the United Kingdom with great distinction. On top of the memorial is a class F locomotive carved from matt black granite. The locomotive was designed in 1935 by William Stanier for the London Midland and Scottish Railway Company. They were built between 1935-46. 
On the rear of the memorial is a display of artwork depicting a series of railway activities."
Reconciliation Stone,,
Remembrance Glade,2,"Royal British Legion Remembrance Glade
The Glade is designed to provoke reflection and contemplation through symbolic forms, features and plants. It provides an ideal spot for those who just want to reflect on what Remembrance means to them. Denoting strength, the curved oak gateways provide an entrance into an inner sanctum. The glade is a perfect circle of white stemmed himalayan birches ‘Betula Jacquemontii’, creating a sense of harmony and unity. The mirror reflects truth and brings light."
Rhodesian African Rifles and Rhodesia Native Regiment Memorial,7,"Rhodesian African Rifles and Rhodesia Native Regiment Memorial 
Formed in May 1940 as the successor to the Rhodesia Native Regiment (RNR) the Rhodesian African Rifles (RAR) was the oldest regiment in the Rhodesian Army. 
The memorial’s design is based on the ruins of the 14th century city of Great Zimbabwe, near Masvingo in Zimbabwe, which is now a recognised World Heritage Site. 
The stone wall behind the memorial’s central column contains dedications honouring the fallen of the Rhodesia Native Regiment during the First World War and the 311 officers and men of the Rhodesian African Rifles who fell in campaigns during and since the Second World War. 
It was unveiled on 19 July 2015 by the Marquis of Salisbury KCVO, PC, DL President of the Rhodesian African Rifles Regiment Association."
Rhodesian Air Force Memorial,7,"Rhodesian Air Force 
The Rhodesian Air Force (RhAF) was an air force based in Salisbury (now Harare) which represented several entities under various names between 1935 and 1980: originally serving the British self-governing colony of Southern Rhodesia, it was the air arm of the Federation of Rhodesia and Nyasaland between 1953 and 31 December 1963; of Southern Rhodesia once again from 1 January 1964; and of the unrecognised nation of Rhodesia following its Unilateral Declaration of Independence from Britain on 11 November 1965. 
Named the Royal Rhodesian Air Force (RRAF) from 1954, the ""Royal"" prefix was dropped in 1970 when Rhodesia declared itself a republic – the official abbreviation changed appropriately. When the internationally recognised country of Zimbabwe came into being in 1980, the RhAF became the Air Force of Zimbabwe."
Roadpeace Wood,1,"Roadpeace Memorial/ Roadpeace
RoadPeace is the national charity for road crash victims. The RoadPeace memorial stone was erected on August 9th 2021.
The stone has been crafted by renowned carver and artist Martin Cook who has made pieces for Westminster Abbey, the British Museum, the Royal Family, RHS Chelsea Flower Show.
The stone was donated by England’s last working slate mine, Honister Slate Mine, based in the heart of the Lake District. The mine is at the top of Honister Pass – one of the steepest roads in the country – and slate is sourced from deep inside a neighbouring mountain, Fleetwith Pike. The memorial stone is at the RoadPeace Wood, an area at the NMA where individual trees have been planted to remember those who have lost their lives or been injured because of a road crash. Planting of trees in the RoadPeace Wood began in spring 2001 and the wood was named after the charity on 10 August 2002."
Robert Flockhart Memorial,3,Robert Flockhart Memorial
Rotary International and Rotary  Ridge,8,"ROTARY INTERNATIONAL MEMORIAL
Founded in 1905, the Rotary International is a movement of Men and Women who come together to create positive lasting change in our communities around the world. The organisation is currently present in over 200 countries. 
ROTARY RIDGE 
The hedge of golden Castlewellan cypress that acts as a windbreak and backdrop to the Arboretum, was first sponsored by local clubs in Rotary District 1060 as a tribute to the Rotary Clubs in Great Britain and Ireland and Rotary International, whose motto is “Service above Self”.  Trees are also dedicated to individual clubs and Rotarians.  Local Rotary Clubs have enthusiastically supported the Arboretum from the early years with individual Rotarians volunteering their skills, business contacts and expertise in many fields."
Royal Air Force Boy Entrants Memorial,13,"Royal Air Force Boy Entrants Memorial
Dedicated in memory of the many thousands of boy entrants who trained between 1934 and 1965 and to record their singular contribution to the Royal Air Force"
Royal Air Force Cranwell Apprentices Memorial,13,"RAF Cranwell Apprentices
A Staffordshire blue brick plinth and memorial plaque, sponsored by the Royal Air Force Cranwell Apprentices Association in 2005, is dedicated to all aircraft apprentices who trained at Royal Air Force Cranwell from 1922 to 1952. The memorial was later upgraded with a new facing.
Cranwell is currently the home of the Royal Air Force College. It was taken over from the Royal Navy by the RAF on its formation in 1918, for officer cadet training, a role it fulfils to this day as the world’s first air force college.."
